一乾二淨	yi gan er jing
不乾不淨	bu qian bu jing
不乾性油	bu qian xing you
不乾淨	bu qian jing
乳臭未乾	ru xiu wei gan
乾乾	gan gan
乾乾淨淨	qian qian jing jing
乾井	qian jing
乾元	qian yuan
乾兒子	gan er zi
乾冰	qian bing
乾冷	qian leng
乾刻版	qian ke ban
乾剝剝	qian bo bo
乾吊着下巴	gan diao zhe xia ba
乾和	qian he
乾和	qian huo
乾咳	gan ke
乾咽	qian yan
乾哭	qian ku
乾啼濕哭	qian ti shi ku
乾喬	qian qiao
乾嘔	gan ou
乾噦	qian yue
乾嚎	qian hao
乾嚥唾	qian yan tuo
乾回付	qian hui fu
乾圓潔淨	qian yuan jie jing
乾圖	qian tu
乾坤	qian kun
乾坤一擲	qian kun yi zhi
乾坤再造	qian kun zai zao
乾塢	qian wu
乾女兒	qian nv er
乾奴才	qian nu cai
乾妹妹	qian mei mei
乾娘	gan niang
乾媽	gan ma
乾季	qian ji
乾宅	gan du
乾宅	qian du
乾屎橛	gan shi jue
乾巴	gan ba
乾巴巴	qian ba ba
乾巴疵咧	qian ba ci lie
乾巴疵咧	qian ba ji lie
乾急	gan ji
乾打雷	gan da lei
乾折	qian she
乾撂臺	gan liao tai
乾撇下	qian pie xia
乾擦	gan ca
乾支剌	gan zhi la
乾支支	qian zhi zhi
乾敲梆子不賣油	gan qiao bang zi bu mai you
乾料	qian liao
乾斷	qian duan
乾旦	qian dan
乾旱	gan han
乾暖	qian nuan
乾曜	qian yao
乾村沙	gan cun sha
乾村沙	qian cun sha
乾杯	qian bei
乾果	qian guo
乾枯	gan ku
乾柴	qian chai
乾柴烈火	qian chai lie huo
乾梅	qian mei
乾死	gan si
乾沒	qian mei
乾洗	gan xi
乾涸	qian he
乾淨	gan jing
乾淨俐落	qian jing li luo
乾淨爽利	qian jing shuang li
乾清宮	qian qing gong
乾渴	qian ke
乾溼	gan shi
乾澀	gan se
乾熬	gan ao
乾熱	qian re
乾燥	qian zao
乾燥劑	qian zao ji
乾燥器	qian zao qi
乾燥機	gan zao ji
乾燥氣候	qian zao qi hou
乾燥箱	qian zao xiang
乾燥花	qian zao hua
乾爹	qian die
乾爽	qian shuang
乾片	qian pian
乾生受	qian sheng shou
乾生子	qian sheng zi
乾產	qian chan
乾疥	qian jie
乾瘦	gan shou
乾癟	qian bie
乾眼症	qian yan zheng
乾着	gan zhe
乾着急	qian zhao ji
乾瞪眼	gan deng yan
乾禮	qian li
乾稿	qian gao
乾笑	qian xiao
乾等	qian deng
乾篾片	qian mie pian
乾粉	qian fen
乾糧	qian liang
乾紅	qian hong
乾結	gan jie
乾絲	qian si
乾綱	qian gang
乾罷	qian bai
乾耗	qian hao
乾股	qian gu
乾肥	qian fei
乾脆	qian cui
乾脆爽快	qian cui shuang kuai
乾花	qian hua
乾芻	qian chu
乾苔	gan tai
乾茨臘	gan ci la
乾茨臘	gan ci lie
乾茶錢	qian cha qian
乾草	qian cao
乾菜	qian cai
乾落	gan luo
乾落	qian luo
乾落得	gan luo de
乾薑	qian jiang
乾薪	qian xin
乾虔	qian qian
乾號	gan hao
乾衣機	qian yi ji
乾裂	qian lie
乾親	qian qin
乾親家	qian qing jia
乾象	qian xiang
乾貨	qian huo
乾貨船	qian huo chuan
乾造	gan zao
乾造	qian zao
乾逼	gan bi
乾道	qian dao
乾酪	qian luo
乾量	qian liang
乾阿嬭	gan a nai
乾陵	qian ling
乾隆	qian long
乾電池	qian dian chi
乾霍亂	gan huo luan
乾霍亂	qian huo luan
乾顙	qian sang
乾颱	qian tai
乾飯	qian fan
乾館	gan guan
乾餱	qian hou
乾餱以愆	qian hou yi qian
乾餾	qian liu
乾魚與貓作枕頭	qian yu yu mao zuo zhen tou
乾麪	qian mian
偎乾就濕	wei qian jiu shi
全彩乾式印表機	quan cai qian shi yin biao ji
口乾舌燥	kou qian she sao
口燥脣乾	kou zao chun qian
口血未乾	kou xie wei qian
唾面自乾	tuo mian zi qian
喫乾醋	chi qian zuo
喫幾碗乾飯	chi ji wan qian fan
壺裏乾坤	hu li qian kun
外強中乾	wai qiang zhong qian
大目乾連冥間救母變文	dai mu qian lian ming jian jiu mu bian wen
天乾物燥	tian qian wu zao
夾心餅乾	jia xin bing qian
弄乾坤	nong gan kun
打乾噦	da qian hui
打淨撈乾	da jing lao qian
扭轉乾坤	niu zhuan qian kun
抔土未乾	pou tu wei qian
揩乾	kai qian
搭乾鋪	ta gan pu
擰乾	ning qian
旋乾轉坤	xuan qian zhuan kun
旋轉乾坤	xuan zhuan qian kun
晒乾	shai gan
晾乾	liang qian
朝乾夕惕	zhao qian xi ti
果乾	guo qian
枯乾	ku qian
桑乾河	sang qian he
桑乾盆地	sang gan pen di
沒乾沒淨	mei qian mei cheng
沒乾淨	mei qian jing
