一乾二淨	yi gan er jing
不乾不淨	bu qian bu jing
不乾性油	bu gan xing you
不乾淨	bu gan jing
乳臭未乾	ru xiu wei qian
乾乾	gan qian
乾乾淨淨	gan gan jing jing
乾井	gan jing
乾元	qian yuan
乾兒子	gan er zi
乾冰	qian bing
乾冷	gan leng
乾刻版	gan ke ban
乾剝剝	gan bo bo
乾吊着下巴	gan diao zhuo xia ba
乾和	qian he
乾咳	gan ke
乾咽	gan yan
乾哭	qian ku
乾啼濕哭	gan ti shi ku
乾喬	qian qiao
乾嘔	gan ou
乾噦	gan yue
乾嚎	gan hao
乾嚥唾	gan yan tuo
乾回付	gan hui fu
乾圓潔淨	qian yuan jie jing
乾圖	gan tu
乾圖	qian tu
乾坤	qian kun
乾坤一擲	qian kun yi zhi
乾坤再造	qian kun zai zao
乾塢	qian wu
乾女兒	gan nv er
乾奴才	gan nu cai
乾妹妹	gan mei mei
乾娘	gan niang
乾媽	gan ma
乾季	gan ji
乾宅	qian zhai
乾屎橛	gan shi jue
乾巴	gan ba
乾巴巴	gan ba ba
乾巴疵咧	gan ba ci lie
乾急	gan ji
乾打雷	gan da lei
乾折	gan she
乾撂臺	gan liao tai
乾撇下	qian pie xia
乾擦	gan ca
乾支剌	qian zhi la
乾支支	qian zhi zhi
乾敲梆子不賣油	gan qiao bang zi bu mai you
乾料	qian liao
乾斷	qian duan
乾旦	qian dan
乾旱	gan han
乾暖	qian nuan
乾曜	qian yao
乾村沙	gan cun sha
乾杯	gan bei
乾果	gan guo
乾枯	gan ku
乾柴	gan chai
乾柴烈火	gan chai lie huo
乾梅	gan mei
乾死	gan si
乾沒	gan mei
乾洗	qian xi
乾涸	gan he
乾淨	gan jing
乾淨俐落	gan jing li luo
乾淨爽利	gan jing shuang li
乾清宮	qian qing gong
乾渴	gan ke
乾溼	gan shi
乾澀	gan se
乾熬	gan ao
乾熱	gan re
乾燥	gan zao
乾燥劑	gan zao ji
乾燥器	gan zao qi
乾燥機	gan zao ji
乾燥氣候	gan zao qi hou
乾燥箱	gan zao xiang
乾燥花	gan zao hua
乾爹	gan die
乾爽	gan shuang
乾片	gan pian
乾生受	qian sheng shou
乾生子	qian sheng zi
乾產	gan chan
乾疥	gan jie
乾瘦	gan shou
乾癟	gan bie
乾眼症	gan yan zheng
乾着	gan zhe
乾着急	gan zhao ji
乾瞪眼	gan deng yan
乾禮	qian li
乾稿	gan gao
乾笑	gan xiao
乾等	gan deng
乾篾片	gan mie pian
乾粉	gan fen
乾糧	qian liang
乾紅	gan hong
乾結	gan jie
乾絲	qian si
乾綱	qian gang
乾罷	gan ba
乾耗	qian hao
乾股	gan gu
乾肥	qian fei
乾脆	gan cui
乾脆爽快	gan cui shuang kuai
乾花	gan hua
乾芻	gan chu
乾苔	gan tai
乾茨臘	gan ci la
乾茶錢	gan cha qian
乾草	qian cao
乾菜	gan cai
乾落	gan luo
