一彈指	yi tan zhi
丈夫有淚不輕彈	zhang fu you lei fu qing tan
中子彈	zhong zi dan
中彈	zhong dan
亂彈	luan tan
以珠彈雀	yi zhu tan que
信號彈	xin hao dan
偷彈珠淚	tou tan zhu lei
催淚彈	cui lei dan
光纖飛彈	guang xian fei dan
光陰彈指	guang yin tan zhi
動彈	dong tan
動彈不得	dong tan bu de
包彈	bao dan
北極星飛彈	bei ji xing fei dan
原子彈	yuan zi dan
反彈	fan tan
反彈琵琶	fan tan pi pa
反飛彈	fan fei dan
古調獨彈	gu diao du tan
吹彈	chui tan
品竹彈絲	pin zhu tan si
塑膠炸彈	su jiao zha dan
子彈	zi dan
宓子賤彈鳴琴	mi zi jian tan ming qin
定時炸彈	ding shi zha dan
宣傳彈	xuan chuan dan
實彈射擊	shi dan she ji
實心彈	shi xin dan
對牛彈琴	dui niu tan qin
導向飛彈	dao xiang fei dan
導彈	dao dan
巡弋飛彈	xun yi fei dan
巡航導彈	xun hang dao dan
彈丸	dan wan
彈丸之地	dan wan zhi di
彈冠	tan guan
彈冠振衣	tan guan zhen yi
彈冠相慶	tan guan xiang qing
彈冠結綬	tan guan jie shou
彈出	tan chu
彈出一個	tan chu yi ge
彈出來	tan chu lai
彈出窗口	tan chu chuang kou
彈剝	dan bo
彈力	dan li
彈劾	tan he
彈劾權	dan he quan
彈劾無私	dan he wu si
彈包	dan bao
彈唱	tan chang
彈坑	dan keng
彈塗魚	tan tu yu
彈壓	tan ya
彈奏	tan zou
彈子房	dan zi fang
彈子檯	tan zi tai
彈射	tan she
彈布爾	dan bu er
彈弄	tan nong
彈弓	tan gong
彈性	dan xing
彈性上班	tan xing shang ban
彈性勢能	tan xing shi neng
彈性工時	tan xing gong shi
彈性放假	tan xing fang jia
彈性模數	tan xing mu shu
彈性疲乏	tan xing pi fa
彈性纖維	tan xing xian wei
彈性製造系統	tan xing zhi zao xi tong
彈性限度	tan xing xian du
彈指	tan zhi
彈指之間	tan zhi zhi jian
彈指神功	tan zhi shen gong
彈掙	tan zheng
彈斤估兩	tan jin gu liang
