一乾二淨	yi gan er jing
不乾不淨	bu qian bu jing
不乾性油	bu qian xing you
不乾淨	bu gan cheng
乳臭未乾	ru chou wei gan
乾乾	gan gan
乾乾淨淨	gan gan jing jing
乾井	qian jing
乾元	qian yuan
乾兒子	gan er zi
乾冰	gan bing
乾冷	qian leng
乾刻版	qian ke ban
乾剝剝	qian bo bo
乾吊着下巴	gan diao zhe xia ba
乾和	gan he
乾咳	gan ke
乾咽	gan yan
乾哭	gan ku
乾啼濕哭	gan ti shi ku
乾喬	qian qiao
乾嘔	gan ou
乾噦	gan yue
乾嚎	qian hao
乾嚥唾	gan yan tuo
乾回付	qian hui fu
乾圓潔淨	gan yuan jie jing
乾圖	gan tu
乾坤	qian kun
乾坤一擲	qian kun yi zhi
乾坤再造	qian kun zai zao
乾塢	qian wu
乾女兒	gan nv er
乾奴才	gan nu cai
乾妹妹	qian mei mei
乾娘	gan niang
乾媽	gan ma
乾季	gan ji
乾宅	qian zai
乾屎橛	gan shi jue
乾巴	qian ba
乾巴巴	gan ba ba
乾巴疵咧	gan ba ci lie
乾巴疵咧	gan ba ji lie
乾巴疵咧	gan ba zhai lie
乾巴疵咧	gan ba zi lie
乾急	gan ji
乾打雷	gan da lei
乾折	gan zhe
乾撂臺	gan liao tai
乾撇下	gan pie xia
乾擦	gan ca
乾支剌	qian zhi la
乾支支	qian zhi zhi
乾敲梆子不賣油	gan qiao bang zi bu mai you
乾料	gan liao
乾斷	qian duan
乾旦	gan dan
乾旱	gan han
乾暖	gan nuan
乾曜	qian yao
乾村沙	qian cun sha
乾杯	gan bei
乾果	gan guo
乾枯	gan ku
乾柴	qian chai
乾柴烈火	gan chai lie huo
乾梅	gan mei
乾死	gan si
乾沒	gan mei
乾洗	gan xi
乾涸	gan he
乾淨	gan jing
乾淨俐落	gan jing li luo
乾淨爽利	gan jing shuang li
乾清宮	qian qing gong
乾渴	gan ke
乾溼	gan shi
乾澀	gan se
乾熬	gan ao
乾熱	qian re
乾燥	gan zao
乾燥劑	gan zao ji
乾燥器	gan zao qi
乾燥機	gan zao ji
乾燥氣候	qian zao qi hou
乾燥箱	gan zao xiang
乾燥花	gan zao hua
乾爹	gan die
乾爽	gan shuang
乾片	gan pian
乾生受	qian sheng shou
乾生子	qian sheng zi
乾產	qian chan
乾疥	gan jie
乾瘦	gan shou
乾癟	gan bie
乾眼症	qian yan zheng
乾着	gan zhe
乾着急	gan zhao ji
乾瞪眼	gan deng yan
乾禮	qian li
乾稿	gan gao
乾笑	gan xiao
乾等	gan deng
乾篾片	qian mie pian
乾粉	gan fen
乾糧	qian liang
乾紅	gan hong
乾結	gan jie
乾絲	qian si
乾綱	qian gang
乾罷	gan ba
乾耗	qian hao
乾股	gan gu
乾肥	gan fei
乾脆	gan cui
乾脆爽快	gan cui shuang kuai
乾花	gan hua
乾芻	gan chu
乾苔	qian tai
乾茨臘	qian ci la
乾茶錢	gan cha qian
乾草	qian zao
乾菜	qian cai
乾落	gan lao
乾落得	gan luo de
乾薑	gan jiang
乾薪	qian xin
乾虔	gan qian
乾號	gan hao
乾衣機	gan yi ji
乾裂	gan lie
乾親	qian qin
乾親家	gan qin jia
乾親家	qian qin jia
乾象	qian xiang
乾貨	gan huo
乾貨船	gan huo chuan
乾造	gan zao
乾逼	gan bi
乾道	qian dao
乾酪	gan lao
乾量	gan liang
乾阿嬭	gan a nai
乾陵	qian ling
乾隆	qian long
乾電池	qian dian chi
乾霍亂	qian huo luan
乾顙	gan sang
乾颱	qian tai
乾飯	gan fan
乾館	qian guan
乾餱	qian hou
乾餱以愆	qian hou yi qian
乾餾	gan liu
乾魚與貓作枕頭	qian yu yu mao zuo zhen tou
乾麪	gan mian
偎乾就濕	wei qian jiu shi
全彩乾式印表機	quan cai gan te yin biao ji
口乾舌燥	kou qian she zao
口燥脣乾	kou zao chun gan
口血未乾	kou xue wei gan
唾面自乾	tuo mian zi gan
喫乾醋	chi gan cu
喫幾碗乾飯	chi ji wan gan fan
壺裏乾坤	hu li qian kun
外強中乾	wai qiang zhong gan
大目乾連冥間救母變文	da mu qian lian ming jian jiu wu bian wen
天乾物燥	tian qian wu zao
夾心餅乾	jia xin bing gan
弄乾坤	nong qian kun
打乾噦	da gan yue
打淨撈乾	da ching lao gan
扭轉乾坤	niu zhuǎn qian kun
抔土未乾	pou tu wei gan
揩乾	kai gan
搭乾鋪	da gan pu
擰乾	ning gan
旋乾轉坤	xuan qian zhuan kun
旋轉乾坤	xuan zhuan qian kun
晒乾	shai gan
晾乾	liang gan
朝乾夕惕	zhao qian xi ti
果乾	guo gan
枯乾	ku gan
桑乾河	sang gan he
桑乾盆地	sang qian pen di
沒乾沒淨	mei gan mei jing
沒乾淨	mei gan jing
河涸海乾	he he hai gan
河涸海乾	he he hai qian
