一乾二淨	yi qian er jing
不乾不淨	fou gan fou cheng
不乾性油	fou qian xing you
不乾淨	bu qian jing
乳臭未乾	ru xiu wei qian
乾乾	gan qian
乾乾	qian qian
乾乾淨淨	qian qian jing jing
乾井	qian jing
乾元	qian yuan
乾兒子	gan er zi
乾冰	qian bing
乾冷	qian leng
乾刻版	qian ke ban
乾剝剝	qian bo bo
乾吊着下巴	qian diao zhao xia ba
乾和	gan he
乾和	gan huo
乾咳	qian ke
乾咽	qian yan
乾哭	qian ku
乾啼濕哭	qian ti shi ku
乾喬	gan qiao
乾嘔	qian ou
乾噦	qian hui
乾嚎	gan hao
乾嚥唾	gan yan tuo
乾回付	qian hui fu
乾圓潔淨	qian yuan jie jing
乾圖	qian tu
乾坤	qian kun
乾坤一擲	qian kun yi zhi
乾坤再造	qian kun zai zao
乾塢	qian wu
乾女兒	qian nv er
乾奴才	gan nu cai
乾妹妹	qian mei mei
乾娘	qian niang
乾媽	qian ma
乾季	qian ji
乾宅	qian zhai
乾屎橛	qian shi jue
乾巴	qian ba
乾巴巴	qian ba ba
乾巴疵咧	gan ba ci lie
乾巴疵咧	gan ba zhai lie
乾巴疵咧	qian ba ci lie
乾巴疵咧	qian ba zhai lie
乾急	qian ji
乾打雷	qian da lei
乾折	qian zhe
乾撂臺	gan liao tai
乾撇下	qian pie xia
乾擦	qian ca
乾支剌	qian zhi la
乾支支	gan qi zhi
乾敲梆子不賣油	qian qiao bang zi bu mai you
乾料	qian liao
乾斷	qian duan
乾旦	qian dan
乾旱	qian han
乾暖	qian nuan
乾曜	gan yao
乾村沙	qian cun sha
乾杯	gan bei
乾果	gan guo
乾果	qian guo
乾枯	qian ku
乾柴	qian chai
乾柴烈火	qian chai lie huo
乾梅	qian mei
乾死	gan si
乾死	qian si
乾沒	gan mei
乾洗	qian xi
乾涸	qian he
乾淨	qian jing
乾淨俐落	qian jing li luo
乾淨爽利	qian jing shuang li
乾清宮	qian qing gong
乾渴	qian ke
乾溼	qian shi
乾澀	qian se
乾熬	qian ao
乾熱	qian re
乾燥	qian zao
乾燥劑	qian zao ji
乾燥器	qian zao qi
乾燥機	qian zao ji
乾燥氣候	qian zao qi hou
乾燥箱	qian zao xiang
乾燥花	qian zao hua
乾爹	qian die
乾爽	qian shuang
乾片	qian pian
乾生受	qian sheng shou
乾生子	gan sheng zi
乾生子	qian sheng zi
乾產	gan chan
乾疥	qian jie
乾瘦	qian shou
乾癟	qian bie
乾眼症	qian yan zheng
乾着	qian zhuo
乾着急	gan zhao ji
乾瞪眼	qian deng yan
乾禮	gan li
乾稿	qian gao
乾笑	qian xiao
乾等	qian deng
乾篾片	qian mie pian
乾粉	qian fen
乾糧	qian liang
乾紅	gan hong
乾結	qian jie
乾絲	qian si
乾綱	gan gang
乾罷	qian bai
乾耗	qian mao
乾股	qian gu
乾肥	qian fei
乾脆	qian cui
乾脆爽快	qian cui shuang kuai
乾花	qian hua
乾芻	gan chu
乾苔	qian tai
乾茨臘	gan ci la
乾茨臘	qian ci la
乾茶錢	gan cha qian
乾草	qian cao
乾菜	gan cai
乾落	gan luo
乾落	qian luo
乾落得	qian luo de
乾薑	qian jiang
乾薪	qian xin
乾虔	gan qian
乾號	qian hao
乾衣機	qian yi ji
乾裂	qian lie
乾親	qian qin
乾親家	qian qin jie
乾象	gan xiang
乾象	qian xiang
乾貨	qian huo
乾貨船	qian huo chuan
乾造	qian zao
乾逼	qian bi
