一乾二淨	yi gan er j
不乾不淨	bu gan bu jing
不乾性油	bu gan xing you
不乾淨	bu gan jing
乳臭未乾	ru xiu wei gan
乾乾	qian qian
乾乾淨淨	gan gan jing jing
乾井	qian jing
乾元	qian yuan
乾兒子	gan er zi
乾冰	gan bing
乾冷	qian leng
乾刻版	qian ke ban
乾剝剝	qian bo bo
乾吊着下巴	gan diao zhe xia ba
乾和	qian he
乾和	qian huo
乾咳	gan ke
乾咽	gan yan
乾哭	gan ku
乾啼濕哭	qian ti shi ku
乾喬	qian qiao
乾嘔	gan ou
乾噦	qian huì
乾嚎	gan hao
乾嚥唾	gan yan tuo
乾回付	gan hui fu
乾圓潔淨	qian yuan jie jing
乾圖	qian tu
乾坤	qian kun
乾坤一擲	qian kun yi zhi
乾坤再造	qian kun zai zao
乾塢	qian wu
乾女兒	gan nv er
乾奴才	gan nu cai
乾妹妹	gan mei mei
乾娘	gan niang
乾媽	gan ma
乾季	qian ji
乾宅	qian zhai
乾屎橛	qian shi jue
乾巴	qian ba
乾巴巴	gan ba ba
乾巴疵咧	gan ba zhai lie
乾急	gan ji
乾打雷	gan da lei
乾折	qian she
乾撂臺	gan liao tai
乾撇下	gan bie xia
乾擦	qian ca
乾支剌	gan zhi la
乾支支	gan zhi zhi
乾敲梆子不賣油	gan qiao bang zi bu mai you
乾料	gan liao
乾斷	gan duan
乾旦	qian dan
乾旱	gan han
乾暖	gan nuan
乾曜	qian yao
乾村沙	qian cun sha
乾杯	gan bei
乾果	gan guo
乾枯	gan ku
乾柴	q chai
乾柴烈火	gan chai lie huo
乾梅	gan mei
乾死	gan si
乾沒	gan mei
乾洗	gan xi
乾涸	gan he
乾淨	gan jing
乾淨俐落	gan jing li luo
乾淨爽利	gan jing shuang li
乾清宮	qian qing gong
乾渴	gan ke
乾溼	qian shi
乾澀	gan se
乾澀	qian se
乾熬	qian ao
乾熱	gan re
乾燥	gan zao
乾燥劑	gan zao ji
乾燥器	gan zao qi
乾燥機	gan zao ji
乾燥氣候	gan zao qi hou
乾燥箱	gan zao xiang
乾燥花	gan zao hua
乾爹	gan die
乾爽	gan shuang
乾片	qian pien
乾生受	gan sheng shou
乾生子	qian sheng zi
乾產	gan chan
乾疥	gan jie
乾瘦	qian shou
乾癟	gan bie
乾眼症	gan yan zheng
