一彈指	yi tan zhi
丈夫有淚不輕彈	zhang fu you lei bu qing tan
中子彈	zhong zi dan
中彈	zhong dan
亂彈	luan dan
以珠彈雀	yi zhu dan que
信號彈	xin hao dan
偷彈珠淚	tou dan zhu lei
催淚彈	cui lei dan
光纖飛彈	guang xian fei dan
光陰彈指	guang yin tan zhi
動彈	dong dan
動彈不得	dong tan bu de
北極星飛彈	bei ji xing fei dan
原子彈	yuan zi dan
反彈	fan tan
反彈琵琶	fan tan pi pa
反飛彈	fan fei dan
古調獨彈	gu tiao du tan
吹彈	chui tan
品竹彈絲	pin zhu tan si
塑膠炸彈	su jiao zha dan
子彈	zi dan
宓子賤彈鳴琴	mi zi jian dan ming qin
定時炸彈	ding shi zha dan
宣傳彈	xuan chuan tan
實彈射擊	shi dan she ji
實心彈	shi xin dan
對牛彈琴	dui niu tan qin
導向飛彈	dao xiang fei dan
導彈	dao dan
巡弋飛彈	xun yi fei dan
巡航導彈	xun hang dao dan
彈丸	dan wan
彈丸之地	dan wan zhi di
彈冠	tan guan
彈冠振衣	tan guan zhen yi
彈冠相慶	dan guan xiang qing
彈冠結綬	dan guan jie shou
彈出	dan chu
彈出一個	dan chu yi ge
彈出來	dan chu lai
彈出窗口	dan chu chuang kou
彈剝	dan bo
彈力	dan li
彈劾	dan he
彈劾權	tan he quan
彈劾無私	dan he wu si
彈包	tan bao
彈包	tan pao
彈唱	dan chang
彈坑	dan keng
彈塗魚	tan tu yu
彈壓	dan ya
彈奏	tan zou
彈子房	dan zi fang
彈子檯	dan zi tai
彈射	dan she
彈布爾	dan bu er
彈弄	tan nong
彈弓	dan gong
彈性	dan xing
彈性上班	dan xing shang ban
彈性勢能	tan xing shi neng
彈性工時	dan xing gong shi
彈性放假	tan xing fang jia
彈性模數	tan xing mo shu
彈性疲乏	tan xing pi fa
彈性纖維	dan xing xian wei
彈性製造系統	tan xing zhi zao xi tong
彈性限度	tan xing xian du
彈指	dan zhi
彈指之間	dan zhi zhi jian
彈指神功	dan zhi shen gong
彈掙	dan zheng
彈斤估兩	dan jin gu liang
彈棋	dan qi
彈殼	dan ke
彈治	tan chi
彈無虛發	dan wu xu fa
彈片	dan pian
彈片	tan pian
彈珠	dan zhu
彈珠檯	dan zhu tai
彈琴	tan qin
彈琵琶	tan pi pa
彈痕分析	dan hen fen xi
彈盡援絕	dan jin yuan jue
彈着點	dan zhuo dian
彈空說嘴	dan kong shuo zui
彈章	tan zhang
彈簧	dan huang
彈簧刀	tan huang dao
彈簧牀	tan huang chuang
彈簧秤	dan huang cheng
彈簧鋼	tan huang gang
彈簧門	dan huang men
彈絲品竹	tan si pin zhu
彈腿	dan tui
彈藥	dan yao
彈觔估兩	dan jin gu liang
彈詞	dan ci
彈跳	dan tiao
彈道	dan dao
彈道導彈	dan dao dao dan
彈道飛彈	dan dao fei dan
彈針	tan zhen
彈鋏	dan jia
彈鋏無魚	dan jia mo yu
彈鋼琴	tan gang qin
彈雨	dan yu
彈頭	dan tou
彈駁	dan bo
彈黃調	dan huang diao
愛國者飛彈	ai guo zhe fei dan
所得彈性	suo de tan xing
手榴彈	shou liu dan
打彈	da dan
打彈子	da dan zi
打彈珠	da dan zhu
投彈	tou dan
抨彈	peng dan
挖地彈	wa de dan
揚州彈詞	yang zhou tan ci
搊彈詞	chou dan ci
搊彈詞	zhou dan ci
擲彈筒	zhi dan tong
斑鳩跌彈	ban jiu die dan
斑鳩跌彈	ban jiu die tan
新沐者必彈冠	xin mu zhe bi tan guan
明珠彈雀	ming zhu tan qiao
星點彈塗	xing dian tan tu
曳光彈	ye guang dan
核彈	he dan
核彈頭	he dan tou
械彈	xie dan
榴彈	liu dan
榴彈炮	liu dan pao
榴霰彈	liu san dan
槍彈	qiang dan
槍林彈雨	qiang lin dan yu
氣爆彈	qi bao dan
氫彈	qing dan
沒包彈	mei pao dan
沒彈剝	mei tan bo
油氣彈	you qi dan
洲際飛彈	zhou ji fei dan
流彈	liu dan
深水炸彈	shen shui zha tan
潛水炸彈	qian shui zha dan
濯纓彈冠	zhuo ying tan guan
火箭彈	huo jian dan
炮彈	pao dan
炸彈	zha dan
煙幕彈	yan mu dan
照明彈	zhao ming dan
