一彈指	yi dàn zhi
丈夫有淚不輕彈	zhang fu you lei bu qing tan
中子彈	zhong zi dan
中彈	zhong dan
亂彈	luan tan
以珠彈雀	yi zhu tan que
信號彈	xin hao dàn
偷彈珠淚	tou dàn zhu lei
催淚彈	cui lei dan
光纖飛彈	guang xian fei dàn
光纖飛彈	guang xian fei tán
光陰彈指	guang yin tan zhi
動彈	dong dàn
動彈不得	dong dàn bu de
包彈	bao dàn
北極星飛彈	bei ji xing fei dan
原子彈	yuan zi dan
反彈	fan dan
反彈琵琶	fan dàn pi pa
反彈琵琶	fan tán pi pa
反飛彈	fan fei dan
古調獨彈	gu diao du dan
吹彈	chui dan
品竹彈絲	pin zhu tan si
塑膠炸彈	su jiao zha dan
子彈	zi dan
宓子賤彈鳴琴	mi zi jian dan ming qin
定時炸彈	ding shi zha dan
宣傳彈	xuan chuan dàn
實彈射擊	shi dan she ji
實心彈	shi xin dan
對牛彈琴	dui niu tan qin
導向飛彈	dao xiang fei dan
導彈	dao dan
巡弋飛彈	xun yi fei dan
巡航導彈	xun hang dao dan
彈丸	dan wan
彈丸之地	dan wan zhi di
彈冠	tan guan
彈冠振衣	dan guan zhen yi
彈冠相慶	dan guan xiang qing
彈冠結綬	dàn guan jie shou
彈出	tan chu
彈出一個	tan chu yi ge
彈出來	tan chu lai
彈出窗口	dan chu chuang kou
彈剝	dan bo
彈力	dàn li
彈劾	tan hài
彈劾權	dan he quan
彈劾無私	dan kai wu si
彈包	tan bao
彈包	tan pao
彈唱	tan chang
彈坑	dan keng
彈塗魚	dàn tu yu
彈壓	tan ya
彈奏	tan zou
彈子房	tan zi fang
彈子檯	dàn zi tai
彈射	dan she
彈布爾	dan bu er
彈弄	dàn nong
彈弄	tán nong
彈弓	tan gong
彈性	dan xing
彈性上班	dan xing shang ban
彈性勢能	dan xing shi neng
彈性工時	dan xing gong shi
彈性放假	dan xing fang jia
彈性模數	tan xing mo shu
彈性疲乏	dan xing pi fa
彈性纖維	tan xing xian wei
彈性製造系統	tan xing zhi zao xi tong
彈性限度	tan xing xian du
彈指	dàn zhi
彈指之間	tan zhi zhi jian
彈指神功	tan zhi shen gong
彈掙	tan zheng
彈斤估兩	tan jin gu liang
彈棋	tan qi
彈殼	dàn qiao
彈治	dan zhi
彈無虛發	tan mo xu fa
彈片	dàn pian
彈片	tán pian
彈珠	tan zhu
彈珠檯	tan zhu tai
彈琴	dan qin
彈琵琶	dan pi pa
彈痕分析	dàn hén fen xi
彈盡援絕	dan jin yuán jue
彈着點	dan zhe dian
彈空說嘴	tan kong shuo zui
彈章	tan zhang
彈簧	dan huang
彈簧刀	tan huang dao
彈簧牀	dan huang chuang
彈簧秤	tan huang cheng
彈簧鋼	tan huang gang
彈簧門	dàn huang men
彈絲品竹	dan si pin zhu
彈腿	dàn tui
彈藥	dan yao
彈觔估兩	tan jin gu liang
彈詞	dan ci
彈跳	dan tiao
彈道	dàn dao
彈道	tan dao
彈道導彈	dan dao dao dan
彈道導彈	tan dao dao dan
彈道飛彈	dan dao fei dan
彈針	dan zhen
彈鋏	dan jia
彈鋏無魚	dan jia wu yu
彈鋼琴	tan gang qin
彈雨	dan yu
彈頭	dan tou
彈駁	dàn bo
彈黃調	dàn huang diào
愛國者飛彈	ai guo zhe fei dan
所得彈性	suo de dan xing
手榴彈	shou liu dan
打彈	da dan
打彈子	da dan zi
打彈珠	da dan zhu
投彈	tou tan
抨彈	peng dàn
挖地彈	wa di dàn
揚州彈詞	yang zhou tan ci
搊彈詞	chou tan ci
擲彈筒	zhi dan tong
斑鳩跌彈	ban jiu die tan
新沐者必彈冠	xin mu zhe bi dan guan
明珠彈雀	ming zhu dàn que
星點彈塗	xing dian dan tu
曳光彈	ye guang dan
核彈	he dan
核彈頭	he dan tou
械彈	xie tan
榴彈	liu dan
榴彈炮	liu dan pao
榴霰彈	liu xian dan
槍彈	qiang dan
槍林彈雨	qiang lin dàn yu
氣爆彈	qi bao dan
氫彈	qing dan
沒包彈	mei pao dan
沒彈剝	mei dan bo
油氣彈	you qi dàn
洲際飛彈	zhou ji fei dan
流彈	liu dan
深水炸彈	shen shui zha dàn
潛水炸彈	qian shui zha dàn
