三樂	san le
不亦樂乎	bu yi le hu
不可與共樂	bu ke yu gong le
不容樂觀	bu rong yue guan
不快樂	bu kuai le
不樂	bu le
不樂觀	bu yue guan
中秋快樂	zhong qiu kuai le
之樂	zhi le
之樂	zhi yue
于飛之樂	yu fei zhi le
交響樂	jiao xiang yue
交響樂團	jiao xiang yue tuan
享樂	xiang yue
享樂主義	xiang le zhu yi
仁者樂山	ren zhe yao shan
仙樂	xian yue
休閒娛樂	xiu xian yu yue
伯樂	bo le
伯樂一顧	bo yue yi gu
何樂不爲	he yue bu wei
佚樂	yi yue
佛教音樂	fo jiao yin yue
你快樂	ni kuai le
俗樂	su yue
信樂團	xin yue tuan
俱樂部	ju le bu
假樂	jia le
健康快樂	jian kang kuai yue
偷着樂	tou zhe le
傻樂	sha le
傻樂	sha yao
優樂	you yue
先憂後樂	xian you hou le
兒童樂園	er tong yue yuan
六樂	liu yue
其樂不窮	qi yue bu qiong
其樂無比	qi le wu bi
其樂無窮	qi yue wu qiong
其樂融融	qi yue rong rong
凱樂	kai yue
利樂	li yue
利樂包	li le bao
刮刮樂	gua gua le
制禮作樂	zhi li zuo yue
助人爲樂	zhu ren wei yue
包爾德樂	bao er de yue
南樂	nan yue
博樂縣	bo le xian
及時行樂	ji shi xing le
取樂	qu le
古典音樂	gu dian yin yue
古天樂	gu tian yue
古樂	gu yue
可共患難不可共安樂	ke gong huan nan bu ke gong an le
可口可樂	ke kou ke le
可樂	ke yue
合成樂器	he cheng yue qi
同樂	tong le
同樂	tong yue
同樂會	tong le hui
君子三樂	jun zi san le
吹奏樂器	chui zou yue qi
吹樂器	chui yue qi
和樂	he le
和聲樂器	he sheng yue qi
咍樂	tai le
唐樂	tang yue
喜怒哀樂	xi nu ai yue
喜樂	xi le
喜聞樂見	xi wen yue jian
喫喝玩樂	chi he wan le
器樂	qi yue
噪音音樂	zao yin yin yue
國家音樂廳	guo jia yin yue ting
國樂	guo yue
國民樂派音樂	guo min yue pai yin yue
夏威夷音樂	xia wei yi yin yue
夔龍禮樂	kui long li yue
大家樂	da jia le
天倫之樂	tian lun zhi le
奏樂	zou yue
女樂	nv yue
好善樂施	hao shan yue shi
好施樂善	hao shi le shan
